Stock,annualized_vol,downside_vol,max_drawdown,vol_clustering,autocorr_1d,autocorr_5d,hurst,momentum_strength,beta_to_vnindex,skewness,kurtosis,var_5,cvar_5,limit_hit,trend_change_freq
HSL,0.4733207130374572,0.33426554552831605,-0.8845323741007194,0.9515830788274252,0.20711038992100944,-0.013344960865598705,,0.0027076128558953146,,0.0362491684621096,1.4806808614019769,-0.05797101449275362,-0.06883304931270826,0.046135410425404436,0.02035928143712575
HVN,0.42277911209701846,0.28665288813349654,-0.8720653789004458,0.9542135485226594,0.09427895054713578,0.03610511727071406,,0.0028241128747433994,,0.10818523564334676,2.3095197571207082,-0.04306608884073677,-0.06284608537527904,0.026361031518624643,0.021191294387170677
ICT,0.5812399393932014,0.7055692191207961,-1.0,0.7783888652018728,0.027106687434880213,0.031796000423954696,,0.0009681879185976343,,-16.306291618845584,445.5434839487808,-0.0357142857142857,-0.06895258164692447,0.0128928283642224,0.02254428341384863
IDI,0.4965544565458381,0.3494810659936266,-0.8235294117647058,0.9508652814022024,0.18690113602349176,0.03158717810782462,,0.0013059903525538992,,-0.15152198470598,1.3699507142495442,-0.06535216608209306,-0.07186828896730552,0.04228571428571429,0.023986293546544833
IDV,0.36619922952341594,0.31525194556376585,-0.7167755991285403,0.94848185711511,-0.12324364654793969,0.009149887575241733,,0.001152797123033126,,-0.3395120033042792,7.984508508655718,-0.03115310077519382,-0.057484220817329464,0.0274442538593482,0.028
IFS,0.6728355738323644,0.6339221632939517,-0.46153846153846156,0.9369765559827921,-0.15387558456992698,-0.001992959592990578,,0.0018089291164373814,,0.12703957336679148,4.694189589023315,-0.07124130551096836,-0.1113856672836324,0.10893371757925072,0.021889400921658985
IJC,0.4390819279285614,0.32351621742650294,-0.7473972602739726,0.9498661809914057,0.08119227190894442,-0.0005636581431070162,,0.00029564554157364767,,-0.21641722090551666,1.3907072495242891,-0.05153153153153144,-0.06810746463938822,0.030303030303030304,0.021142857142857144
IMP,0.3572914730550784,0.3671566993020993,-0.5737113402061855,0.9335981566905868,-0.0759066617450955,0.045256630181751974,,0.0009712338262312884,,-5.43163310737864,109.67201395141082,-0.027907580477673943,-0.05177572486142624,0.009137635636778984,0.02226027397260274
ITD,0.3994202212659476,0.2744269054125516,-0.6628787878787878,0.9518276071173474,0.0017015931425094003,0.026415585971288517,,0.002679452423295689,,0.10324493755727622,1.7179393153251814,-0.0417470525187567,-0.05836500220321799,0.016580903373356205,0.02057142857142857
JVC,0.49762404896594975,0.3255627888843845,-0.8282527881040892,0.9625850471006734,0.17474765152633265,-0.02697864405708673,,0.003098895151368748,,0.18920757620091644,0.5255423545673903,-0.06297193490785341,-0.06830131168221291,0.04971428571428571,0.02227298686464877
KBC,0.4164088618396889,0.3220301638336241,-0.7753623188405797,0.9461291073690516,0.085040349360119,0.046166396737202034,,0.0005219898285390816,,-0.6637163850553072,7.211504566371172,-0.04288084965151006,-0.06432941726861877,0.025728987993138937,0.021714285714285714
KDH,0.5069684804096587,0.6332730072658519,-1.0,0.7524783865599336,0.017116278565280012,0.01761322702212773,,-0.0004739053984785073,,-17.802788439077936,549.8787753108825,-0.03154099809379129,-0.06504498065825505,0.013157894736842105,0.023441966838193252
KHS,0.6557336053944632,0.5422549263521835,-0.7690288713910761,0.9457402604648377,-0.10449465472125184,-0.042352400265576635,,0.003359255096931288,,0.06590521313544496,1.461337321987787,-0.0847048699643039,-0.09633000103653072,0.1702857142857143,0.023415191319246145
KLB,0.67923289032608,0.74318041104636,-1.0,0.8983443800430089,-0.14708531305675737,0.02359203019058966,,0.003532341330174979,,-7.120556546611249,174.0272054923867,-0.05115840517241378,-0.09515996528752924,0.06405077899596076,0.02306805074971165
KMR,0.4070054140677405,0.2932592333942997,-0.8076923076923077,0.9702019633915354,0.10975964925081388,-0.01790314997371688,,0.003791235461313127,,0.2314412844770627,1.9489347381765558,-0.04382922109337201,-0.062365422972359474,0.030857142857142857,0.023415191319246145
LAS,0.6111743725695773,0.6857181806228122,-1.0,0.844961689454464,0.010158757023150415,0.025553763224205772,,0.0007400348350035425,,-9.960495392616911,260.1065422677397,-0.04687500000000011,-0.08229124394934223,0.058419243986254296,0.024041213508872353
LCG,0.4519088368746552,0.31823435804973826,-0.8196463654223969,0.9610231415528983,0.10806465667152305,-0.006612132152554068,,0.0018917776927278064,,-0.08806886872344552,0.9450983280279281,-0.056107207059977196,-0.06804043684431177,0.037714285714285714,0.021701884637350087
LDP,0.6638246927924378,0.49931452292945433,-0.9197080291970803,0.9505436297677303,-0.008145881557040843,0.03170107972557489,,0.006952068034202424,,0.10637378232641218,1.0204693321228042,-0.08388368563284346,-0.09607656568121857,0.15542857142857142,0.019417475728155338
LIG,0.5592154544319797,0.3311762426869984,-0.8701923076923077,0.9530410248589339,0.03127340601585252,0.02450590622238128,,0.0034448944856748723,,0.17968218857296406,0.980197961968873,-0.05555555555555558,-0.07752393480913837,0.076,0.023415191319246145
