stock_code,primary_class,confidence_score,annualized_volatility,max_drawdown,autocorr_1d,hurst_exponent,beta_to_vnindex,sample_size,date_range,composite_score
ANV,High_Risk,0.935890496183498,0.49218359388770794,-0.7472527472527473,0.10508849708546321,0.00733566820982561,1.164262206874692,1496,2018-01-03 to 2023-12-29,0.8924340448164747
DBC,High_Risk,0.9357186403997844,0.5146215119999714,-0.8672955974842768,0.10134591608258291,0.01265232948605755,1.0207990757235814,1493,2018-01-03 to 2023-12-29,0.9682768313063982
LIG,High_Risk,0.9339558484015824,0.5816574818988498,-0.8701923076923077,0.058025481701717674,0.0016320779464743815,1.082034703781274,1496,2018-01-03 to 2023-12-29,0.8185004226267315
STT,High_Risk,0.9332926151129234,0.6386713006804823,-0.8761904761904762,-0.098087390499435,-0.006345365354440655,0.17923169294097602,1477,2018-01-04 to 2023-12-29,0.8787518281276803
VOS,High_Risk,0.932166075264552,0.5442003810325338,-0.7557312252964428,0.16647207553458312,0.027669237000643984,1.0894862155367728,1497,2018-01-03 to 2023-12-29,0.9532067215617196
HAG,High_Risk,0.9321097972200713,0.48237912430858343,-0.6996466431095407,0.09792822974223157,0.008376211556396982,0.9807411314422823,1497,2018-01-03 to 2023-12-29,0.7666153949235952
TTN,High_Risk,0.9317841407768006,0.5764856909794248,-0.7724137931034483,-0.07139186836239257,-0.004668951719701937,0.6645846457088854,1480,2018-01-03 to 2023-12-29,0.8145710359765024
AGR,High_Risk,0.9307839339488089,0.4687703277666015,-0.792057761732852,0.10924163645011319,0.014717766545636495,1.3748820518602594,1496,2018-01-03 to 2023-12-29,0.9531496485162995
TNG,High_Risk,0.9298996405663229,0.548212578693137,-0.7714285714285715,0.04325694041292997,0.005772000076145188,1.524948663685882,1486,2018-01-03 to 2023-12-29,0.7924180614616915
DQC,High_Risk,0.9286119770133752,0.4051172569906649,-0.8012326656394453,0.10666410182592233,0.015853089113153567,0.7855085502586687,1497,2018-01-03 to 2023-12-29,0.6748642248904304
KHS,High_Risk,0.9284756445796994,0.6636866379113848,-0.7690288713910761,-0.11841339775944085,-0.022679524467847247,0.16815788646605212,1496,2018-01-03 to 2023-12-29,0.8848426757916166
IJC,High_Risk,0.9282137590620646,0.4563564763969974,-0.7473972602739726,0.10160321810558329,0.018028724916467245,1.2695211559314576,1495,2018-01-03 to 2023-12-29,0.8149163075729128
TCD,High_Risk,0.9248512153003312,0.5386722197160789,-0.9007751937984496,0.045713827442945026,0.010218316256593703,0.6910513278892951,1497,2018-01-03 to 2023-12-29,0.8285174493749073
KMR,High_Risk,0.9237271463832075,0.43792618428568947,-0.8076923076923077,0.11196295750284659,0.01803931281659737,0.7116948024340634,1496,2018-01-03 to 2023-12-29,0.8279502434207487
SGP,High_Risk,0.9210580442255863,0.6496982484828797,-0.8042452830188679,-0.15280880680550374,-0.021241147929076564,1.0946541132709968,1483,2018-01-03 to 2023-12-29,0.8999999999999999
LCG,High_Risk,0.9198752413227352,0.47489820785305653,-0.8196463654223969,0.12042254908206673,0.02229604306491297,1.2633569594664684,1496,2018-01-03 to 2023-12-29,0.9918726831327201
LSS,High_Risk,0.9188206222601658,0.45732591595337957,-0.7486772486772486,0.05185734199924591,0.008651366735493923,0.8564651929473678,1497,2018-01-03 to 2023-12-29,0.6893611502436888
HAP,High_Risk,0.9186769915052522,0.4313272751459948,-0.7979166666666666,0.27074764087966297,0.0546023874185748,0.7393234639966643,1490,2018-01-03 to 2023-12-29,0.8056721160085246
VCI,High_Risk,0.9185976848584199,0.5292337618941965,-0.8796610169491526,0.055769812223415795,0.0072996097070660996,1.4651833397991512,1497,2018-01-03 to 2023-12-29,0.8393794571476119
ELC,High_Risk,0.9183593574576672,0.4520332682123539,-0.8058727569331158,0.18805752236470222,0.029607621717955983,0.8873257477955889,1495,2018-01-03 to 2023-12-29,0.8941592658647602
EVG,High_Risk,0.917732988256489,0.5160414234644111,-0.875,0.2158839440275463,0.04125431689813117,0.9951534552949701,1496,2018-01-03 to 2023-12-29,0.9999999999999999
TLH,High_Risk,0.9169755044515666,0.45218753208926205,-0.8140495867768595,0.14661072803678843,0.023313830685397535,1.118710160386247,1497,2018-01-03 to 2023-12-29,0.8948185132019745
TIS,High_Risk,0.9160624941251313,0.7203195645054171,-0.8235294117647058,-0.08976685859194604,-0.02369807344495976,0.5686945488225277,1482,2018-01-03 to 2023-12-29,0.8401381739779976
SCR,High_Risk,0.9158745817664495,0.48151994513494734,-0.8526717557251908,0.10900191595411768,0.017352330303625825,1.370885644844387,1496,2018-01-03 to 2023-12-29,0.986881934274891
PDR,High_Risk,0.9123820090155651,0.4006778239250014,-0.897979797979798,0.14597299438522024,0.023624087654188084,0.7787249708699333,1497,2018-01-03 to 2023-12-29,0.6746915552350488
PVX,High_Risk,0.9116206161650136,0.8025721549420602,-0.7407407407407407,-0.23071644287319054,-0.03471043000636016,0.567560303069003,1482,2018-01-03 to 2023-12-29,0.8175433958939113
VCS,High_Risk,0.9098403727635039,0.4435636557591149,-0.8587162932016711,0.053730393279502076,0.0033622484443669785,1.0075323441490767,1486,2018-01-03 to 2023-12-29,0.6740744291828854
TCO,High_Risk,0.9070392520942809,0.5949505827934382,-0.8038123167155425,0.09300700964580008,0.01681142326101955,0.41209440606804804,1496,2018-01-03 to 2023-12-29,0.9480121741088702
