symbol,volatility,max_drawdown,autocorr,hurst,days,norm_vol,norm_dd,norm_autocorr,norm_hurst,composite_score,risk_class
FANG,0.6315617869681991,0.9209936231300194,0.04958767935401773,0.9923662122954541,1509,0.6929998108562863,0.9208648716570574,0.8920421106491253,0.1874182406248267,0.7506096320319395,High
FAST,0.28231740920600756,0.686882087668004,-0.09234847623819815,1.0252649702814656,1509,0.12795051436206276,0.5496189658542712,0.40284293111021713,0.9057956158020781,0.3872140433033577,Medium
FCX,0.5115967957145948,0.8987391818389984,-0.02738606380713571,1.012516237508069,1509,0.49890610963157567,0.8855745550183862,0.6267433089212586,0.6274142498403906,0.6533248971264369,High
FDS,0.2795718515851129,0.633639124686846,-0.15044351233630288,1.0167712775933115,1509,0.12350842309029643,0.4651881325740749,0.20261175057770242,0.7203273175315863,0.30151489087704014,Low
FDX,0.3733169043103554,0.7168235133300473,-0.036143172029180354,1.0128978224397562,1509,0.27518037392204625,0.5970990341430702,0.5965609347440578,0.6357465395198141,0.4720887007125325,High
FMC,0.34595760555591615,0.5920241227688396,-0.06908659679000737,1.0125841067268562,1509,0.23091523037749415,0.39919651429885483,0.4830176568036613,0.6288962422994498,0.3716182020313314,Medium
FNF,0.3215223000104754,0.65776943104477,0.023576365353523792,1.0174508261037127,1509,0.19138087252600053,0.5034531305950704,0.8023911445885198,0.7351659407834182,0.4615831111849671,High
FOX,0.3350132817314598,0.528639046072794,-0.02676132947846615,1.0226830117006276,1210,0.21320819521421108,0.29868267090380984,0.6288965271744921,0.849415960712745,0.38560898086300033,Medium
FOXA,0.34601720317601603,0.5501046883676606,-0.031496694485981275,1.0177139229136556,1211,0.23101165453047823,0.3327221376121443,0.61257555055773,0.7409109234914165,0.38882750555652223,Medium
FTNT,0.44546787924030123,0.8908071757934931,-0.06790663067497779,1.0161143094171254,1509,0.391914844743789,0.8729962565446036,0.48708454485588243,0.7059817585234246,0.5866798996844156,High
GD,0.2520265751322687,0.6265931873094668,-0.01409145913776155,1.0131501188967358,1509,0.07894238259696407,0.45401493088312583,0.6725646831117588,0.6412556856890571,0.36641993749498086,Medium
GE,0.4120357958958168,0.7366649096945987,-0.025913359882541898,1.0075161550918377,1509,0.3378244244622051,0.6285628283179845,0.6318191512857995,0.5182324356403089,0.5018856921014682,High
GILD,0.25720079314709576,0.42093590429222794,-0.09127336971425083,0.9837832201891689,1509,0.08731385093074082,0.1278907859622,0.4065484085992862,0.0,0.1546024578808136,Low
GIS,0.2325216015298256,0.6510753355471526,0.007528054045532113,1.0103650090540621,1509,0.047384905042655294,0.4928378674828152,0.7470788057971973,0.5804400190547436,0.3742650853268205,Medium
GL,0.29315124182816094,0.5480055820951617,-0.10867509142214417,1.0061001892794514,1509,0.1454787836522052,0.3293934481139005,0.3465713862081521,0.4873134020380295,0.2750551653404856,Low
GM,0.40833667017255676,0.7444477696354702,-0.001196527915036479,1.0148725430447583,1509,0.33183953674270966,0.6409046161020975,0.717008537097006,0.678866544400636,0.5362955613871779,High
GNRC,0.5023136486854717,0.9143139557165676,-0.013831893787657649,1.0165528396510697,1509,0.4838867248338332,0.9102724880973391,0.673459304751874,0.7155575059887449,0.6728840479119843,High
GOOG,0.3132609872049168,0.6761241756507655,-0.07934095508610021,1.006316639167231,1509,0.1780147332661205,0.5325594442740783,0.44767483915289397,0.4920398024178414,0.36971267466103463,Medium
GOOGL,0.31340248815976673,0.671422882018252,-0.08204031946818693,1.0076683260697539,1509,0.17824367042325825,0.5251042968393183,0.43837117134898884,0.5215552415571789,0.36865851564661445,Medium
GPC,0.29406807741113694,0.7511995811221923,-0.00010441696025030551,1.0077752969280154,1509,0.14696214983974687,0.6516114032164151,0.7207726223000869,0.5238910575296551,0.45081191111380614,High
GS,0.3181330257673618,0.6909246350393614,-0.0704366613719674,0.9907954321068013,1509,0.18589729956494527,0.5560294964488808,0.4783645049477179,0.15311867985160257,0.35215253773534616,Medium
HAL,0.569330517003695,0.8980831034239004,0.01947570237007778,1.024458225950106,1509,0.5923146243439097,0.8845341687554452,0.7882577410262116,0.888179544233431,0.7487556029927829,High
HD,0.2836586865737412,0.64780747386707,-0.10071469914528597,1.0191964369791957,1509,0.13012059319882954,0.4876558064320162,0.3740077878381569,0.7732831049433395,0.35047484727110206,Medium
HIG,0.34308838263255204,0.7046526849044992,-0.1508502703078273,1.020416798999062,1509,0.22627305859875205,0.5777989590130858,0.2012098127479056,0.799930933562594,0.3840839670492671,Medium
HLT,0.3290179473375801,0.6950534375961988,0.050504826272159346,0.9913881495677758,1509,0.2035082266614859,0.5625768075075562,0.8952031623064671,0.1660612600553171,0.44582309138368637,Medium
HOLX,0.2975966096607463,0.6648796649436494,0.010455562056588767,1.0102677524096164,1509,0.15267103104801236,0.5147282914667883,0.757168796688715,0.578316322683435,0.424752291465328,Medium
HON,0.2603074395308723,0.5689186607987596,-0.04255383629946062,1.0191052006983796,1509,0.0923401547609046,0.3625566787557407,0.5744658477788271,0.7712908692497774,0.33772532201182726,Low
HRL,0.22424255776268207,0.46107601319682623,-0.03424207823248685,1.014958860005858,1509,0.033990078513895135,0.19154357034935762,0.6031132717556428,0.6807513618145501,0.2597568930429489,Low
HSY,0.23037981901276433,0.7089132126650224,-0.17013465332110078,1.0130566419696727,1509,0.04391967329787068,0.584555155304447,0.13474398303281063,0.6392145232375215,0.2838046648407967,Low
HUM,0.32660941774120317,0.6260968218537594,-0.023872884140322785,1.000321015171919,1509,0.1996114196098202,0.4532278118594962,0.6388518841000548,0.36111933939813573,0.37969522216160145,Medium
HWM,0.43216986890744746,0.8317175659146695,-0.009785346448061805,1.0139482039684058,1509,0.37039973423149203,0.7792940145781612,0.6874061925637643,0.65868267363791,0.585297603942589,High
IBM,0.2628063681432916,0.5436054961675713,-0.05751028832604659,1.0065345651795141,1509,0.09638322014533372,0.32241594534978124,0.5229167267695207,0.4967984354566152,0.2895412605626335,Low
ICE,0.24632208912569284,0.5393602709714301,-0.10939294189917398,0.9979579557861507,1509,0.06971298332780337,0.31568401533117724,0.3440972325090515,0.309519567769733,0.2223618012092581,Low
IDXX,0.3373291568459406,0.776397082046345,-0.012235636585060461,1.0216092044360026,1509,0.21695509477087888,0.6915687211507608,0.6789609876077005,0.8259683021556776,0.5126416819906877,High
IEX,0.2575252469728009,0.5434001965668098,-0.12496393073993971,1.0131735901048713,1509,0.08783879110911749,0.3220903884049036,0.2904300401454883,0.6417682030582476,0.2540254613000405,Low
IFF,0.34229525391686905,0.4209624575858064,-0.016619493287902205,1.0095967425109797,1509,0.22498984016672563,0.12793289324882787,0.663851524530458,0.5636641485829561,0.3175125238057259,Low
ILMN,0.43099463037074953,0.6014023107642594,-0.0004229283559527275,1.0136161464904045,1509,0.3684982928607558,0.41406811765781587,0.7196748363779495,0.6514318655813888,0.48069790627537584,High
INCY,0.34657780945122685,0.46667883400541177,-0.01034704006466968,1.0189557286238466,1509,0.23191867036691874,0.20042832812957184,0.6854702513284228,0.7680269965950421,0.36679271651082784,Medium
INTC,0.3851245105774872,0.5243730776735274,-0.1319424006063272,1.0105261388726596,1509,0.29428413060175046,0.2919178470373295,0.2663779463091453,0.5839584502428171,0.31696044063800977,Low
INTU,0.3563195614095725,0.7860301767348656,-0.10136780632843659,1.0073300016570863,1509,0.24768004103222582,0.7068445466510557,0.37175677929973927,0.5141675886970358,0.43689349513785847,Medium
INVH,0.2940956000405421,0.656510863262016,-0.08268402944114102,1.0055405312397718,1509,0.14700667923913963,0.5014573377111331,0.4361525513693491,0.4750927074539715,0.3439796540282627,Low
IPG,0.3525444043721181,0.7299931640934209,-0.030231141351708977,0.9945107009312105,1509,0.24157214076526337,0.6179830068918125,0.6169374240519481,0.23424530071953306,0.4288357732559921,Medium
IQV,0.32234684192423274,0.7027705871910177,-0.02058651308104084,1.0122502257694272,1509,0.19271491498441867,0.5748143941172472,0.6501787374951831,0.6216056167408364,0.4417265934020619,Medium
IR,0.3592145449726146,0.7746418000379571,-0.015947868992358255,1.0146530883914562,1509,0.25236389145278476,0.6887852561760115,0.6661663544127219,0.6740745319521229,0.508221857511674,High
ISRG,0.35485587511868116,0.6645412638278856,-0.025233088572612278,1.013359167662117,1509,0.24531191440909791,0.5141916667827527,0.6341637840912527,0.6458204751386297,0.44379707013057856,Medium
ITW,0.26917567346477395,0.6010968552077667,-0.07576878818969905,1.002360656027178,1509,0.10668824356223502,0.413583736892345,0.45998672055903894,0.4056569430526034,0.29931345690966565,Low
